Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_rtld_global;rtld.c;140;0.6678307056427002;0-2;Double bit-flip
_rtld_local;rtld.c;162;0.3117842674255371;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;1.2237625122070312;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.3143622875213623;0-2;Double bit-flip
_dl_argv;rtld.c;86;1.0797741413116455;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.31770944595336914;0-2;Double bit-flip
_rtld_local;rtld.c;162;1.0444395542144775;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.7500205039978027;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0324642658233643;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.3096907138824463;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;0.38468241691589355;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.705009937286377;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.5665240287780762;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6733853816986084;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1121094226837158;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6029071807861328;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.261035680770874;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.517897367477417;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1990375518798828;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;0.3787224292755127;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;1.1961760520935059;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.8221142292022705;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.6042771339416504;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0555799007415771;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9230713844299316;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3630695343017578;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.31466078758239746;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;0.6882576942443848;0-2;Double bit-flip
_rtld_local_ro;rtld.c;202;1.036076307296753;0-2;Double bit-flip
_rtld_global_ro;rtld.c;168;0.7208316326141357;0-2;Double bit-flip
__GI__dl_argv;rtld.c;83;0.7301874160766602;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7361342906951904;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.3415968418121338;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.436429500579834;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.5355684757232666;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3431267738342285;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.31397056579589844;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;1.103715419769287;0-2;Double bit-flip
