Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1537;1.4156005382537842;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.1697490215301514;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6859004497528076;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1008338928222656;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6948118209838867;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.2251999378204346;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8176379203796387;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5234875679016113;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1691617965698242;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.6931993961334229;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.49616169929504395;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7943458557128906;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5885405540466309;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.805781364440918;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8495931625366211;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0350708961486816;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.3165338039398193;0-2;Random bit-flip
negative;../stdlib/strtol_l.c;228;0.8294291496276855;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2515077590942383;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2892186641693115;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2181041240692139;0-2;Random bit-flip
negative;../stdlib/strtol_l.c;228;1.1732125282287598;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6799473762512207;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5852677822113037;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.5007545948028564;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.175276756286621;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.4403789043426514;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.1470165252685547;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5496180057525635;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.7886872291564941;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.3708505630493164;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.3643136024475098;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8664505481719971;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.41724228858947754;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9337928295135498;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8910801410675049;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2790708541870117;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2355647087097168;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0726001262664795;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6031906604766846;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.030608892440796;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2727975845336914;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0856473445892334;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.5480058193206787;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.680574893951416;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7362151145935059;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.1032507419586182;0-2;Random bit-flip
negative;../stdlib/strtol_l.c;228;0.6808111667633057;0-2;Random bit-flip
