Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1537;0.42729997634887695;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.38159728050231934;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5555305480957031;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;0.6911971569061279;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8527994155883789;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.3207464218139648;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.9450850486755371;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.210202932357788;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9903647899627686;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8368687629699707;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.8843445777893066;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0429558753967285;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.2721426486968994;0-2;Single bit-flip
__malloc_hook;malloc.c;1852;1.2882416248321533;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0422663688659668;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.5352792739868164;0-2;Single bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.3901364803314209;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;0.9885690212249756;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;0.34968090057373047;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;0.981102705001831;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.4469175338745117;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;1.0935297012329102;0-2;Single bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.6662774085998535;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.281325340270996;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8052272796630859;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5657880306243896;0-2;Single bit-flip
t;iogetline.c;82;0.40290188789367676;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.539893388748169;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;0.5927267074584961;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.0559744834899902;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.9918789863586426;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;1.0927157402038574;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;0.9454965591430664;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;0.892225980758667;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.3109238147735596;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8933460712432861;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.5901954174041748;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.2817130088806152;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6219978332519531;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;1.1138217449188232;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.4058244228363037;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.783851146697998;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.8107926845550537;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.40046048164367676;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.4785771369934082;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5033316612243652;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.4854586124420166;0-2;Single bit-flip
t;iogetline.c;82;0.9627153873443604;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0694127082824707;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.6313848495483398;0-2;Single bit-flip
t;iogetline.c;82;0.471463680267334;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.2077600955963135;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.4374358654022217;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.4294905662536621;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2975373268127441;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1381776332855225;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2365834712982178;0-2;Single bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1188080310821533;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.7974681854248047;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.258436918258667;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.4268336296081543;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6687524318695068;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2325596809387207;0-2;Single bit-flip
buf;iogetline.c;47;0.6212363243103027;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7641470432281494;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.2200257778167725;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6597416400909424;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.34882235527038574;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2701499462127686;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.6188910007476807;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9348199367523193;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1250293254852295;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.4636714458465576;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7301154136657715;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.5628049373626709;0-2;Single bit-flip
negative;../stdlib/strtol_l.c;228;1.1708645820617676;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.9542782306671143;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.799199104309082;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.3771235942840576;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7408571243286133;0-2;Single bit-flip
__free_hook;malloc.c;1850;1.1314258575439453;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.6063132286071777;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.9599807262420654;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.29176878929138184;0-2;Single bit-flip
t;iogetline.c;82;0.8772785663604736;0-2;Single bit-flip
extract_delim;iogetline.c;48;1.087885856628418;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.6945765018463135;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5943927764892578;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0421111583709717;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5578210353851318;0-2;Single bit-flip
